,Order_CultCham,A,callus ,root,B,callus,root,C,callus,root,D,callus,root,E,callus,root,F,callus,root,G,callus,root,H,callus,root,I,callus,root
3_IBA_05_1,12,G1_b26_1,0,0,G2_18_1,0,0,G1_b5_1,1,0,G1_b15_1,0,0,G1_b3_1,1,2,G1_b13_1,1,7,G1_b12_1,0,0,G1_b10_1,1,4,G1_b7_1,0,0
3_IBA_05_2,8,G1_b26_1,1,1,G2_18_1,1,0,G1_b5_1,1,5,G1_b15_1,1,0,G1_b3_1,1,6,G1_b13_1,1,5,G1_b12_1,1,0,G1_b10_1,0,3,G1_b7_1,0,0
3_IBA_05_3,15,G1_b26_1,1,0,G2_18_1,0,1,G1_b5_1,1,0,G1_b15_1,0,0,G1_b3_1,1,2,G1_b13_1,0,2,G1_b12_1,0,0,G1_b10_1,0,3,G1_b7_1,0,0
3_IBA_1_1,1,G1_b26_1,1,0,G2_18_1,1,0,G1_b5_1,1,1,G1_b15_1,0,0,G1_b3_1,1,1,G1_b13_1,1,9,G1_b12_1,0,0,G1_b10_1,1,1,G1_b7_1,0,0
3_IBA_1_2,4,G1_b26_1,0,0,G2_18_1,0,1,G1_b5_1,1,0,G1_b15_1,0,0,G1_b3_1,1,6,G1_b13_1,1,2,G1_b12_1,0,0,G1_b10_1,1,3,G1_b7_1,0,0
3_IBA_1_3,7,G1_b26_1,1,1,G2_18_1,1,3,G1_b5_1,1,1,G1_b15_1,0,0,G1_b3_1,1,9,G1_b13_1,1,4,G1_b12_1,1,0,G1_b10_1,1,9,G1_b7_1,0,0
3_NAA_05_1,3,G1_b26_1,1,0,G2_18_1,0,0,G1_b5_1,1,1,G1_b15_1,0,0,G1_b3_1,1,9,G1_b13_1,1,5,G1_b12_1,0,0,G1_b10_1,1,2,G1_b7_1,0,0
3_NAA_05_2,13,G1_b26_1,1,0,G2_18_1,1,1,G1_b5_1,1,0,G1_b15_1,0,0,G1_b3_1,1,1,G1_b13_1,1,1,G1_b12_1,0,0,G1_b10_1,1,2,G1_b7_1,0,0
3_NAA_05_3,6,G1_b26_1,1,0,G2_18_1,0,0,G1_b5_1,1,0,G1_b15_1,1,0,G1_b3_1,1,1,G1_b13_1,1,1,G1_b12_1,0,0,G1_b10_1,1,0,G1_b7_1,0,0
3_NAA_1_1,10,G1_b26_1,1,0,G2_18_1,1,0,G1_b5_1,1,0,G1_b15_1,1,1,G1_b3_1,1,0,G1_b13_1,1,3,G1_b12_1,0,0,G1_b10_1,1,1,G1_b7_1,0,0
3_NAA_1_2,11,G1_b26_1,1,0,G2_18_1,0,0,G1_b5_1,1,0,G1_b15_1,1,0,G1_b3_1,0,0,G1_b13_1,1,4,G1_b12_1,1,0,G1_b10_1,1,0,G1_b7_1,0,0
3_NAA_1_3,14,G1_b26_1,1,0,G2_18_1,0,1,G1_b5_1,1,1,G1_b15_1,0,0,G1_b3_1,1,3,G1_b13_1,1,0,G1_b12_1,0,0,G1_b10_1,0,0,G1_b7_1,0,0
3_Control_1,2,G1_b26_1,0,0,G2_18_1,0,0,G1_b5_1,0,0,G1_b15_1,0,0,G1_b3_1,0,0,G1_b13_1,1,0,G1_b12_1,0,0,G1_b10_1,1,0,G1_b7_1,0,0
3_Control_2,9,G1_b26_1,0,0,G2_18_1,0,0,G1_b5_1,0,0,G1_b15_1,0,0,G1_b3_1,0,1,G1_b13_1,0,3,G1_b12_1,0,0,G1_b10_1,0,0,G1_b7_1,0,0
3_Control_3,5,G1_b26_1,0,0,G2_18_1,0,0,G1_b5_1,0,0,G1_b15_1,0,0,G1_b3_1,0,3,G1_b13_1,0,0,G1_b12_1,0,0,G1_b10_1,0,0,G1_b7_1,0,0